#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+1.46          +1.61           kcal/mol       1.0000   10.0000   0.221     0     0     energy('PbI2_Hex_EOS_a_108')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+3.16          +3.62           kcal/mol       1.0000   4.0000    0.843     0     0     energy('PbI2_Hex_EOS_a_112')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+5.41          +5.86           kcal/mol       1.0000   2.0000    0.411     0     0     energy('PbI2_Hex_EOS_a_116')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+8.12          +8.50           kcal/mol       1.0000   1.0000    0.142     0     0     energy('PbI2_Hex_EOS_a_120')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+13.69         +3.52           kcal/mol       1.0000   4.0000    413.395   0     0     energy('PbI2_Hex_EOS_c_080')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+6.72          +3.24           kcal/mol       1.0000   8.0000    97.129    0     0     energy('PbI2_Hex_EOS_c_085')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+2.56          +1.14           kcal/mol       1.0000   20.0000   40.501    0     0     energy('PbI2_Hex_EOS_c_090')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.55          +0.17           kcal/mol       1.0000   40.0000   5.724     0     0     energy('PbI2_Hex_EOS_c_095')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   160.0000  0.000     0     0     energy('PbI2_Hex_EOS_c_100')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.30          +0.51           kcal/mol       1.0000   80.0000   3.623     0     0     energy('PbI2_Hex_EOS_c_105')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.97          +1.26           kcal/mol       1.0000   40.0000   3.328     0     0     energy('PbI2_Hex_EOS_c_110')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+1.72          +2.01           kcal/mol       1.0000   16.0000   1.341     0     0     energy('PbI2_Hex_EOS_c_115')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+2.40          +2.59           kcal/mol       1.0000   8.0000    0.276     0     0     energy('PbI2_Hex_EOS_c_120')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+2.97          +2.97           kcal/mol       1.0000   4.0000    0.000     0     0     energy('PbI2_Hex_EOS_c_125')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+3.43          +3.00           kcal/mol       1.0000   1.6000    0.292     0     0     energy('PbI2_Hex_EOS_c_130')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+8.87          +11.24          kcal/mol       1.0000   1.0000    5.644     0     0     energy('PbI2_MoS2_EOS_abc_080')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+5.06          +7.43           kcal/mol       1.0000   2.0000    11.151    0     0     energy('PbI2_MoS2_EOS_abc_084')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+2.56          +4.69           kcal/mol       1.0000   4.0000    18.146    0     0     energy('PbI2_MoS2_EOS_abc_088')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+1.04          +2.57           kcal/mol       1.0000   10.0000   23.497    0     0     energy('PbI2_MoS2_EOS_abc_092')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+0.25          +1.07           kcal/mol       1.0000   20.0000   13.356    0     0     energy('PbI2_MoS2_EOS_abc_096')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_MoS2_EOS_abc_100')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+0.16          -0.64           kcal/mol       1.0000   20.0000   13.014    0     0     energy('PbI2_MoS2_EOS_abc_104')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+0.64          -0.97           kcal/mol       1.0000   10.0000   26.028    0     0     energy('PbI2_MoS2_EOS_abc_108')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+1.36          -1.05           kcal/mol       1.0000   4.0000    23.121    0     0     energy('PbI2_MoS2_EOS_abc_112')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+2.26          -0.80           kcal/mol       1.0000   2.0000    18.711    0     0     energy('PbI2_MoS2_EOS_abc_116')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
+3.31          -0.48           kcal/mol       1.0000   1.0000    14.382    0     0     energy('PbI2_MoS2_EOS_abc_120')/2.000 - energy('PbI2_MoS2_EOS_abc_100')/2.000
